prompt_index,likelihood
0,0
1,0
2,0
3,2
4,2
5,2
6,0
7,0
8,0
9,0
10,0
11,0
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,0
22,0
23,0
24,1
25,1
26,1
27,2
28,2
29,2
30,3
31,3
32,3
33,0
34,0
35,0
36,2
37,2
38,2
39,1
40,1
41,1
42,1
43,1
44,1
45,2
46,2
47,2
48,3
49,3
50,3
51,3
52,3
53,3
54,1
55,1
56,1
57,1
58,1
59,1
60,0
61,0
62,0
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,3
71,3
72,1
73,1
74,1
75,1
76,1
77,1
78,2
79,2
80,2
81,1
82,1
83,1
84,3
85,3
86,3
87,2
88,2
89,2
90,0
91,0
92,0
93,3
94,3
95,3
96,1
97,1
98,1
99,3
100,3
101,3
102,3
103,3
104,3
105,2
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,0
124,0
125,0
126,1
127,1
128,1
129,2
130,2
131,2
132,3
133,3
134,3
135,1
136,1
137,1
138,0
139,0
140,0
141,0
142,0
143,0
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,0
154,0
155,0
156,1
157,1
158,1
159,2
160,2
161,2
162,1
163,1
164,1
165,2
166,2
167,2
168,0
169,0
170,0
171,1
172,1
173,1
174,2
175,2
176,2
177,0
178,0
179,0
180,3
181,3
182,3
183,1
184,1
185,1
186,2
187,2
188,2
189,0
190,0
191,0
192,2
193,2
194,2
195,1
196,1
197,1
198,2
199,2
200,2
201,0
202,0
203,0
204,2
205,2
206,2
207,3
208,3
209,3
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,3
223,3
224,3
225,1
226,1
227,1
228,0
229,0
230,0
231,0
232,0
233,0
234,1
235,1
236,1
237,0
238,0
239,0
240,1
241,1
242,1
243,3
244,3
245,3
246,2
247,2
248,2
249,0
250,0
251,0
252,0
253,0
254,0
255,1
256,1
257,1
258,2
259,2
260,2
261,0
262,0
263,0
264,3
265,3
266,3
267,1
268,1
269,1
270,0
271,0
272,0
273,3
274,3
275,3
276,0
277,0
278,0
279,1
280,1
281,1
282,0
283,0
284,0
285,3
286,3
287,3
288,2
289,2
290,2
291,2
292,2
293,2
294,1
295,1
296,1
297,1
298,1
299,1
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,1
310,1
311,1
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,1
325,1
326,1
327,1
328,1
329,1
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,1
340,1
341,1
342,1
343,1
344,1
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,1
355,1
356,1
357,0
358,0
359,0
360,1
361,1
362,1
363,1
364,1
365,1
366,0
367,0
368,0
369,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,0
385,0
386,0
387,0
388,0
389,0
390,1
391,1
392,1
393,1
394,1
395,1
396,0
397,0
398,0
399,1
400,1
401,1
402,0
403,0
404,0
405,0
406,0
407,0
408,1
409,1
410,1
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,0
433,0
434,0
435,1
436,1
437,1
438,2
439,2
440,2
441,0
442,0
443,0
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1